"114","155","0","100","","","0","","following","2010-10-22","0000-00-00","0","210","1","Storz","Cold Light Source","450 BV","","CH","","114","20040630","10","","","","","","","","1941","OK","1","4100","1","","","","","",""
"115","154","0","100","","","0","","following","2010-10-22","0000-00-00","0","93","0","Hamilton","Respirator Amadeus","Amadeus 153000","","CH","","115","19900101","","","","","","","","","699","OK, working","1","33000","1","","","","","",""
"116","155","0","100","","","0","","following","2010-10-22","0000-00-00","0","127","1","Olympus","cold Light source","CLE-F10","","CH","","116","19910101","10","52.7","50","20.5","","","","","465","OK, working","1","20000","1","","","","","",""
"117","155","0","100","","","0","","following","2010-10-22","0000-00-00","0","158","1","Olympus","Cold Light source","CLV-U20","","CH","","117","19931020","20","53.3","58.4","17.8","","","","","348","OK, working","1","8000","1","","","","","",""
"118","157","0","100","","","0","","Manual in DE, EN, SP","2010-10-25","0000-00-00","0","69","0","Sony","Videoprinter","UP-895 MDW","","CH","","118","20010101","3.4","26","15.4","10.5","","","","","462","OK, working","1","2130","1","","","","","","1"
"119","160","0","100","","","0","","Rate parameters:1-500 ml/hr. in 1 ml increments /Volume & Dose Limits: Off-9999 ml in 1 ml increments /Occlusion Pressure: Occludes at  rate: 5 ml/hr or selected rate if lower. /Alarms:Flo, Door, Hold, Bat., Batt., Err X.\
Accuracy:	? 10 %\
Flow Sensor:	Model 182","2010-10-25","0000-00-00","0","168","1","Carbamed","Infusion Pump","IVAC Star Flow 581","","CH","","119","19900501","10","","","","","","","","200","OK, working","1","3000","1","","","","","",""
"120","160","0","100","","","0","","Manual in EN as PDF","2010-10-25","0000-00-00","0","228","1","BBraun","Needle Pump Perfusor Compact","Perfusor Compact","","CH","","120","20000224","1.5","12","19","10","","","","","448","Very Good","1","2499","1","120.Perfusor Compact.pdf","","","","","3"
"123","160","0","100","","","0","","Manual in EN as PDF","2010-10-25","0000-00-00","0","115","0","BBraun","Needle Pump Perfusor Compact","Perfusor Compact","","CH","","123","20010417","1.5","12","19","10","","","","","602","Very Good","1","2600","1","123.Perfusor Compact.pdf","","","","",""
"124","157","0","100","","","0","","following","2010-10-25","0000-00-00","0","198","1","Sony","Videoprinter","UP-890 CE","","CH","","124","20040401","3.7","30.3","15.4","10.06","","","","","1344","OK, working","1","3000","1","","","","","","1"
"125","154","0","100","","","0","","following","2010-10-25","0000-00-00","0","111","0","Hamilton","Respirator Veclar-FT","Veolar 1500028","","CH","","125","19940301","20","","","","","","","","2472","OK, working","1","52458","1","","","","","",""
